931874353976938497	'check out the pulse pounding excitement of # paxunplugged of waiting in line <num> hours before game sign up begins . waiting in line , what a gaming convention is all about . '	the people are bored of waiting in line <num> hours before game sign up begins.
880425829246922752	'proud to have a <user> who attacks private citizens via twitter instead of doing hard work on health care , nat sec the job requires '	it's sad to have a <user> who attacks private citizens via twitter instead of doing hard work on health care, nat sec the job requires.
690915881082343424	'the view from my house ........ yay  # pasnow # blizzard2016'	the author has a terrible view of everything covered with snow from his house.
915228456757059585	'these # colombo # jaffna # vavuniya luxury busses are very high tech  # cultureshock # turkishairlines'	these # colombo # jaffna # vavuniya luxury busses aren't very high tech.
494194068998468686_25639236	Thanks North Carolina, I was worried we weren't gonna hit traffic	the author was worried that they were gonna hit traffic in North Carolina and it turned out to be true.
847004394612776965	'junk mail : free viagra . stripper wants to meet me . and , someone will send me 100k if i give them my account number . score ! # japan '	the author is annoyed with such junk mail.
886345583052681217	'god awful venue . terrible view . '	it's a beautiful venue and lovely view.
852753018558623745	'kids : - take selfie from mobiles adults : - take selfie from dslr legends : - take selfie from landline # amitabhbachchan # trending '	one can't take a selfie from a landline.
879809878113603586	i hope england isn 't too rainy , or anything ...  emoji_131 emoji_15	england is too rainy.
884143989342916609	"'your persistence has paid off , i am "" woke "" , the earth is flat ! ! ! '"	their persistence hasn't paid off, the author doesn't believe that the earth is flat.
806951240773025792	'so helpful at building the puzzle .  # illjustdoitalone # frozen # littlehelpers # toddlers'	these toddlers aren't helpful at building the puzzle.
709046988462014464	'moving is so much fun  # intended'	moving is exhausting and not fun.
693187562681143296	i can 't believe this . i was so sure she was always honest and trustworthy 	the author expected this since she wasn't sure that clinton was always honest and trustworthy.
865338439633260544	'some people have no concept of common sense . great priorities though !  # wwyptoti # facepalmfriday <user>'	it's a wrong priority to status update than to call police when someone is trying to break in.
882284909083185153	'hey <user> thanks for making it easy for me to take my music with me .  # ihateyourupdates'	the author hates <user>'s updates since they make it difficult for her to take her music with her.
713905030516985856	'such a big turn out in a state of 7million wowzy 16000 people will surely get him elected '	in a state of 7 million, 16000 people is a very low turn out.
691712999518773248	'sport is good for you they say ... # pe # soccer # tackle # knee '	the author has injured his leg playing sports.
852193638641741828	it 's such a shame it 's a terrible day . maybe when it 's beautiful out my driveway will get fixed  # cityofjonesboro # thanksyall emoji_156	it's a beautiful day and still the author's driveway isn't getting fixed.
689033889923219456	'our very own einstein ...  # indiancongress'	he said steve jobs' of microsoft instead of apple, he isn't very bright.
910531588118560768	'new # airteldsl technology upgrade package provided 810gb for <num> months <user> for being a loyal customer for all these years . '	it's sad that airteldsl technology upgrade package provided just 810gb for <num> months even after being a loyal customer for all these years.
874428307001008134	"'aww  this is so romantic ! what a great way to start off a "" modern fairytale "" ! '"	"this isn't so romantic, it's a terrible way to start off a ""modern fairytale""."
847570526302334976	'hats off to the american <user> for highlighting the weather in the metropolis of cape st . george ! # nlwx '	there's no need for the american <user> to highlight the weather in the metropolis of cape st. george.
822097672622444544	<user> nice job guys ! can 't wait to open my package and reassemble my glass . # thanksfortheglasspuzzle 	the author is pissed at <user> for such a package with broken glass.
731266833140056065	'this would look fantastic in the program book i think . shows a lot of depth and substance . '	this would definitely not look good in the program book, does not have any depth or substance
